#,Fiscal Year,Cash Dividend,Bonus Share,Right Share
1,078-079,1.50%,6.50%,
2,077-078,0.63%,12.00%,
3,076-077,0.53%,10.00%,
4,075-076,0.84%,16.00%,
5,074-075,0.42%,8.00%,40
6,073-074,,,10:4
7,072-073,,,10:4
8,071-072,,,10:2
