#,Fiscal Year,Cash Dividend,Bonus Share,Right Share
1,079-080,1.53%,29.00%,
2,076-077,1.00%,19.00%,
3,075-076,11.05%,10.00%,
4,074-075,0.53%,10.00%,
5,073-074,1.05%,20.00%,
6,072-073,1.37%,26.00%,100:15
7,071-072,2.05%,39.00%,4:1
8,070-071,15.00%,15.00%,
9,069-070,20.00%,,
10,068-069,25.00%,,
