,Fiscal Year,NICA_Cash,PRVU_Cash,GBIME_Cash,NABIL_Cash,SBL_Cash
0,079-080,1.53%,-,8.00%,11.00%,4.21%
1,078-079,-,1.50%,10.60%,11.50%,0.66%
2,077-078,-,0.63%,3.50%,4.40%,0.75%
3,076-077,1.00%,0.53%,2.00%,1.76%,3.00%
4,075-076,11.05%,0.84%,12.75%,22.00%,15.26%
5,074-075,0.53%,0.42%,-,22.00%,8.16%
6,073-074,1.05%,-,10.00%,18.00%,-
7,072-073,1.37%,-,-,15.00%,-
8,071-072,2.05%,-,-,6.84%,1.05%
9,070-071,15.00%,-,4.00%,45.00%,11.16%
