Symbol,Date,Close,Volume
GBIME,2024-07-04,179.0,"107,015.00"
GBIME,2024-07-03,180.6,"151,772.00"
GBIME,2024-07-02,181.5,"167,185.00"
GBIME,2024-07-01,173.9,"76,610.00"
GBIME,2024-06-30,172.5,"53,993.00"
GBIME,2024-06-27,173.4,"82,663.00"
GBIME,2024-06-26,173.0,"110,410.00"
GBIME,2024-06-25,175.5,"76,268.00"
GBIME,2024-06-24,175.9,"65,835.00"
GBIME,2024-06-23,177.0,"68,819.00"
GBIME,2024-06-20,177.8,"39,187.00"
GBIME,2024-06-19,178.7,"35,384.00"
GBIME,2024-06-18,179.2,"50,561.00"
GBIME,2024-06-16,183.5,"54,289.00"
GBIME,2024-06-13,186.1,"68,068.00"
GBIME,2024-06-12,184.0,"64,847.00"
GBIME,2024-06-11,181.1,"58,416.00"
GBIME,2024-06-10,180.0,"66,964.00"
GBIME,2024-06-09,178.2,"59,566.00"
GBIME,2024-06-06,180.5,"64,245.00"
GBIME,2024-06-05,183.9,"64,984.00"
GBIME,2024-06-04,184.0,"37,118.00"
GBIME,2024-06-03,183.6,"51,212.00"
GBIME,2024-06-02,185.2,"57,918.00"
GBIME,2024-05-30,185.1,"66,020.00"
GBIME,2024-05-29,187.0,"143,195.00"
GBIME,2024-05-27,190.0,"97,055.00"
GBIME,2024-05-26,192.0,"210,409.00"
GBIME,2024-05-22,192.0,"219,662.00"
GBIME,2024-05-21,188.0,"161,501.00"
GBIME,2024-05-20,186.5,"320,341.00"
GBIME,2024-05-19,181.0,"119,962.00"
GBIME,2024-05-16,176.0,"48,622.00"
GBIME,2024-05-15,178.0,"54,933.00"
GBIME,2024-05-14,177.0,"39,770.00"
GBIME,2024-05-13,178.0,"92,897.00"
GBIME,2024-05-12,174.0,"56,128.00"
GBIME,2024-05-09,173.2,"52,164.00"
GBIME,2024-05-08,172.0,"33,006.00"
GBIME,2024-05-07,174.0,"66,370.00"
GBIME,2024-05-06,176.0,"31,949.00"
GBIME,2024-05-05,177.9,"62,269.00"
GBIME,2024-05-02,180.0,"95,841.00"
GBIME,2024-04-30,180.0,"207,105.00"
GBIME,2024-04-29,177.5,"155,320.00"
GBIME,2024-04-28,176.0,"64,657.00"
GBIME,2024-04-25,176.0,"156,967.00"
GBIME,2024-04-24,177.6,"88,218.00"
GBIME,2024-04-22,173.1,"80,886.00"
GBIME,2024-04-21,174.0,"77,654.00"
GBIME,2024-04-18,175.3,"31,384.00"
GBIME,2024-04-16,177.4,"28,551.00"
GBIME,2024-04-15,180.0,"124,478.00"
GBIME,2024-04-14,179.0,"50,721.00"
GBIME,2024-04-10,182.0,"62,691.00"
GBIME,2024-04-09,180.2,"58,231.00"
GBIME,2024-04-07,180.6,"59,561.00"
GBIME,2024-04-04,179.6,"47,587.00"
GBIME,2024-04-03,181.4,"39,590.00"
GBIME,2024-04-02,181.2,"91,209.00"
GBIME,2024-04-01,181.2,"28,648.00"
GBIME,2024-03-31,181.6,"92,143.00"
GBIME,2024-03-28,181.9,"45,881.00"
GBIME,2024-03-27,182.9,"40,354.00"
GBIME,2024-03-26,184.8,"32,463.00"
GBIME,2024-03-25,184.3,"81,711.00"
GBIME,2024-03-21,187.3,"43,742.00"
GBIME,2024-03-20,190.0,"40,408.00"
GBIME,2024-03-19,189.0,"40,516.00"
GBIME,2024-03-18,192.9,"56,093.00"
GBIME,2024-03-17,191.5,"40,619.00"
GBIME,2024-03-14,193.5,"73,019.00"
GBIME,2024-03-13,194.0,"63,204.00"
