#,Fiscal Year,Cash Dividend,Bonus Share,Right Share
1,079-080,4.21%,,
2,078-079,0.66%,12.50%,
3,077-078,0.75%,14.25%,
4,076-077,3.00%,12.00%,
5,075-076,15.26%,10.00%,
6,074-075,8.16%,5.00%,
7,073-074,,14.00%,10:1
8,072-073,,39.00%,10:3
9,071-072,1.05%,20.00%,
10,070-071,11.16%,12.00%,
