#,Fiscal Year,Cash Dividend,Bonus Share,Right Share
1,079-080,11.00%,,
2,078-079,11.50%,18.50%,
3,077-078,4.40%,33.60%,
4,076-077,1.76%,33.50%,
5,075-076,22.00%,12.00%,
6,074-075,22.00%,12.00%,
7,073-074,18.00%,30.00%,
8,072-073,15.00%,30.00%,
9,071-072,6.84%,30.00%,
10,070-071,45.00%,20.00%,
