#,Fiscal Year,Cash Dividend,Bonus Share,Right Share
1,079-080,8.00%,1.00%,
2,078-079,10.60%,3.00%,
3,077-078,3.50%,10.00%,
4,076-077,2.00%,14.00%,
5,075-076,12.75%,12.75%,
6,074-075,,16.00%,
7,073-074,10.00%,10.00%,
8,072-073,,16.00%,
9,071-072,,23.00%,
10,070-071,4.00%,21.00%,
